diagnosis_on_admission,admission_group,system,diagnosis_type
Anaphylaxis,Other,Cardiovascular,Non operative
"Aneurysm, dissecting aortic",Other,Cardiovascular,Non operative
"Aneurysm/pseudoaneurysm, other",Other,Cardiovascular,Non operative
"Angina, stable (asymp or stable pattern of symptoms w/meds)",Other,Cardiovascular,Non operative
"Angina, unstable (angina interferes w/quality of life or meds are tolerated poorly)",Other,Cardiovascular,Non operative
Cardiac arrest (with or without respiratory arrest; for respiratory arrest),Post cardiac or respiratory arrest,Cardiovascular,Non operative
Cardiomyopathy,Other,Cardiovascular,Non operative
"Cardiovascular medical, other",Other,Cardiovascular,Non operative
"Chest pain, atypical (noncardiac chest pain)",Other,Cardiovascular,Non operative
"Chest pain, epigastric",Other,Cardiovascular,Non operative
"Chest pain, musculoskeletal",Other,Cardiovascular,Non operative
"Chest pain, respiratory",Respiratory disease,Cardiovascular,Non operative
"Chest pain, unknown origin",Other,Cardiovascular,Non operative
"CHF, congestive heart failure",Other,Cardiovascular,Non operative
"Complications of previous open heart surgery (i.e. bleeding, infection etc.)",Other,Cardiovascular,Non operative
"Efffusion, pericardial",Other,Cardiovascular,Non operative
Endocarditis,Other,Cardiovascular,Non operative
Hematomas,Other,Cardiovascular,Non operative
Hemorrhage (for gastrointestinal bleeding),Other,Cardiovascular,Non operative
"Hypertension, uncontrolled  (for cerebrovascular accident)",Other,Cardiovascular,Non operative
Hypovolemia  (including dehydration),Other,Cardiovascular,Non operative
"Infarction, acute myocardial (MI), ANTERIOR",Acute ischemic event,Cardiovascular,Non operative
"Infarction, acute myocardial (MI), INFEROLATERAL",Acute ischemic event,Cardiovascular,Non operative
"Infarction, acute myocardial (MI), NON Q Wave",Acute ischemic event,Cardiovascular,Non operative
"Infarction, acute myocardial (MI), none of the above",Acute ischemic event,Cardiovascular,Non operative
MI admitted > 24hrs after onset of ischemia,Acute ischemic event,Cardiovascular,Non operative
"Monitoring, hemodynamic (pre-operative evaluation)",Other,Cardiovascular,Non operative
Papillary muscle rupture,Other,Cardiovascular,Non operative
Pericarditis,Other,Cardiovascular,Non operative
"Rhythm disturbance (atrial, supraventricular)",Other,Cardiovascular,Non operative
Rhythm disturbance (conduction defect),Other,Cardiovascular,Non operative
Rhythm disturbance (ventricular),Other,Cardiovascular,Non operative
